URIs,Name label
http://www.wikidata.org/entity/Q17381033,"Häppölä, Leo (1911 - 1998)"
http://www.wikidata.org/entity/Q3423931,"Hallamaa, Reino (1899 - 1979)"
http://www.wikidata.org/entity/Q4357790,"Hannuksela, Hannu (1893 - 1942)"
http://www.wikidata.org/entity/Q3662950,"Jokela, Leo (1927 - 1975)"
http://www.wikidata.org/entity/Q5473659,"Hordeel, Lars Henrikinpoika (K 1591)"
http://www.wikidata.org/entity/Q11895513,"Högström, Sven (1908 - 1995)"
http://www.wikidata.org/entity/Q11867811,"Uunila, Jukka (1923 - )"
http://www.wikidata.org/entity/Q18633258,"Lehtisalo, Toivo (1887 - 1962)"
http://www.wikidata.org/entity/Q323094,"Honko, Lauri (1932 - 2002)"
http://www.wikidata.org/entity/Q17383969,"Stenius, Mårten Gabriel (1844 - 1906)"
http://www.wikidata.org/entity/Q105705227,"Auvinen, Mauri (1927 - )"
http://www.wikidata.org/entity/Q5946085,"Lemström, Selim (1838 - 1904)"
http://www.wikidata.org/entity/Q4357866,"Suolahti, Gunnar (1876 - 1933)"
http://www.wikidata.org/entity/Q11869441,"Rissanen, Kalle (1885 - 1958)"
http://www.wikidata.org/entity/Q4356663,"Talas, Onni (1877 - 1958)"
http://www.wikidata.org/entity/Q17380070,"Bonsdorff, Johan von (1940 - 2002)"
http://www.wikidata.org/entity/Q11861583,"Kyttä, Harras (1912 - 1985)"
http://www.wikidata.org/entity/Q351710,"Sorsa, Kalevi (1930 - 2004)"
http://www.wikidata.org/entity/Q15630802,"Zetterberg, Margaretha (S noin 1733, K ennen 1803 )"
http://www.wikidata.org/entity/Q11858516,"Sundvik, Ernst Edvard (1849 - 1918)"
http://www.wikidata.org/entity/Q11875928,"Snellman, Lina (1846 - 1924)"
http://www.wikidata.org/entity/Q17380396,"Gullsten, Pehr (1770 - 1825)"
http://www.wikidata.org/entity/Q11850878,"Salomaa, Aliina (1866 - 1909)"
http://www.wikidata.org/entity/Q18633708,"Silvennoinen, Martti (1924 - 2002)"
http://www.wikidata.org/entity/Q3564840,"Hällström, Roland af (1905 - 1956)"
http://www.wikidata.org/entity/Q5477369,"Hannula, Mandi (1880 - 1952)"
