oeblbio,oeblid
http://www.wikidata.org/entity/Q362952,K/Klein_Adolf_1847_1931
http://www.wikidata.org/entity/Q363097,L/Lang_Adolf_1823_1897
http://www.wikidata.org/entity/Q363462,M/Mueller_Adolf_1839_1901
http://www.wikidata.org/entity/Q363505,O/Odkolek-Ujezd_Adolf_1854_1917
http://www.wikidata.org/entity/Q364102,S/Schimon_Adolf_1820_1887
http://www.wikidata.org/entity/Q364774,G/Guttenberg_Adolf_1839_1917
http://www.wikidata.org/entity/Q365071,F/Fumagalli_Adolfo_1828_1865
http://www.wikidata.org/entity/Q367661,N/Neumann-Heilwart_Paul_1875_1932
http://www.wikidata.org/entity/Q371286,D/Dugonics_Andreas_1740_1818
http://www.wikidata.org/entity/Q371556,S/Sadlowski_Wladyslaw_1869_1940
http://www.wikidata.org/entity/Q371740,K/Koessler_Hans_1853_1926
http://www.wikidata.org/entity/Q372551,F/Fogarasi_Johann_1801_1878
http://www.wikidata.org/entity/Q374674,G/Goldzieher_Ignaz_1850_1921
http://www.wikidata.org/entity/Q380506,F/Fredro_Aleksander_1793_1876
http://www.wikidata.org/entity/Q417976,E/Eisenberg_Akiba_1908_1983
http://www.wikidata.org/entity/Q422668,R/Roesner_Karl_1804_1869
http://www.wikidata.org/entity/Q434601,S/Schmid_Franz_1874_1939
http://www.wikidata.org/entity/Q446711,F/Friedrich_Maria-Albrecht_1856_1936
http://www.wikidata.org/entity/Q448912,B/Bach_Alexander_1813_1893
http://www.wikidata.org/entity/Q448799,R/Rettigova_Magdalena-Dobromila_1785_1845
http://www.wikidata.org/entity/Q451836,B/Blahetka_Marie-Leopoldine_1810_1885
http://www.wikidata.org/entity/Q453087,S/Schuetz_Amalie_1803_1852
http://www.wikidata.org/entity/Q455008,W/Windisch-Graetz_Alfred-Candidus-Ferdinand_1787_1862
http://www.wikidata.org/entity/Q460211,A/Apponyi_Albert_1846_1933
http://www.wikidata.org/entity/Q470673,F/Fernkorn_Anton-Dominik_1813_1878
http://www.wikidata.org/entity/Q471288,P/Paulucci-Roncole_Hamilcar_1773_1845
http://www.wikidata.org/entity/Q499274,L/Leykam_Andreas_1752_1826
http://www.wikidata.org/entity/Q501379,B/Baumgartner_Andreas_1793_1865
http://www.wikidata.org/entity/Q502867,K/Karlin_Andrej_1857_1933
http://www.wikidata.org/entity/Q513185,G/Gruber_Franz-Xaver_1787_1863
http://www.wikidata.org/entity/Q514358,B/Bresadola_Giacomo_1847_1929
http://www.wikidata.org/entity/Q515684,K/Korosec_Anton_1872_1940
http://www.wikidata.org/entity/Q521014,B/Benedek-Kisbaczon_Elek_1859_1929
http://www.wikidata.org/entity/Q523418,S/Scholz_Marie_1861_1944
http://www.wikidata.org/entity/Q527997,N/Nopcsa-Felsoeszilvas_Franz_1877_1933
http://www.wikidata.org/entity/Q528612,L/Littrow_Auguste_1819_1890
http://www.wikidata.org/entity/Q542959,M/Maier_Heinrich_1908_1945
http://www.wikidata.org/entity/Q546355,A/Adamberger_Antonie_1790_1867
http://www.wikidata.org/entity/Q554665,B/Brezina_Aristides_1848_1909
http://www.wikidata.org/entity/Q555907,F/Frankl-Hochwart_Ludwig-August_1810_1894
http://www.wikidata.org/entity/Q546526,H/Hunfalvy_Johann_1820_1888
http://www.wikidata.org/entity/Q550825,R/Rott_Hans_1858_1884
http://www.wikidata.org/entity/Q563172,S/Schimon-Regan_Anna_1841_1902
http://www.wikidata.org/entity/Q569369,R/Rippl-Ronai_Jozsef_1861_1927
http://www.wikidata.org/entity/Q569557,H/Huettenbrenner_Anselm_1794_1868
http://www.wikidata.org/entity/Q570279,R/Ricci_Luigi_1805_1859
http://www.wikidata.org/entity/Q570773,L/Ligeti_Antal_1823_1890
http://www.wikidata.org/entity/Q572063,K/Korb_Floris-Nandor_1860_1930
http://www.wikidata.org/entity/Q578400,A/Abranyi-Laszlofalva-Mikefoeld_Margit_1861_1948
http://www.wikidata.org/entity/Q580264,J/Joanovic_Djordje_1871_1932
http://www.wikidata.org/entity/Q580552,W/Winkelmann_Hermann_1847_1912
http://www.wikidata.org/entity/Q588144,B/Battig_Antonio_1832_1896
http://www.wikidata.org/entity/Q588370,B/Boller_Anton_1811_1869
http://www.wikidata.org/entity/Q588744,S/Stojan_Antonin-Cyril_1851_1923
http://www.wikidata.org/entity/Q588765,S/Steiger-Amstein_Anton-David_1755_1832
http://www.wikidata.org/entity/Q588986,D/Dreher_Anton_1849_1921
http://www.wikidata.org/entity/Q590955,G/Gruenwald_Anton-Karl_1838_1920
http://www.wikidata.org/entity/Q591870,M/Mauss_Anton_1868_1917
http://www.wikidata.org/entity/Q592259,O/Ohorn_Anton_1846_1924
http://www.wikidata.org/entity/Q592907,P/Pohl_Anton_1870_1939
http://www.wikidata.org/entity/Q593945,S/Schott_Anton_1866_1945
http://www.wikidata.org/entity/Q595015,U/Uran_Anton_1920_1943
http://www.wikidata.org/entity/Q596404,R/Ruthner_Anton_1817_1897
http://www.wikidata.org/entity/Q597740,G/Grohmann_Paul_1838_1908
http://www.wikidata.org/entity/Q597865,E/Esterhazy_Nikolaus-II_1765_1833
http://www.wikidata.org/entity/Q599916,M/Marek_Antonin_1785_1877
http://www.wikidata.org/entity/Q600579,S/Szkalnitzky_Antal_1836_1878
http://www.wikidata.org/entity/Q606053,P/Pian_Antonio_1784_1851
http://www.wikidata.org/entity/Q608342,B/Becvarovsky_Anton-Felix_1754_1823
http://www.wikidata.org/entity/Q608774,S/Sova_Antonin_1864_1928
http://www.wikidata.org/entity/Q609963,R/Rieder_Wilhelm-August_1796_1880
http://www.wikidata.org/entity/Q613125,K/Kosztka_Tivadar_1853_1919
http://www.wikidata.org/entity/Q622305,V/Vaida-Voevod_Alexandru_1872_1950
http://www.wikidata.org/entity/Q624998,C/Corda_August-Karl-Josef_1805_1849
http://www.wikidata.org/entity/Q634047,J/Josika-Branyicska_Miklos_1794_1865
http://www.wikidata.org/entity/Q637649,H/Hess_Heinrich_1788_1870
http://www.wikidata.org/entity/Q638747,S/Szurmay-Uzsok_Sandor_1860_1945
http://www.wikidata.org/entity/Q640342,M/Mueller_Leopold-Karl_1834_1892
http://www.wikidata.org/entity/Q646146,S/Serner_Walter_1889_1942
http://www.wikidata.org/entity/Q647871,H/Hausegger_Siegmund_1872_1948
http://www.wikidata.org/entity/Q658927,W/Wehrle_Alois_1791_1835
http://www.wikidata.org/entity/Q661633,V/Vajna_Gabor_1891_1946
http://www.wikidata.org/entity/Q662634,T/Tausk_Viktor_1879_1919
http://www.wikidata.org/entity/Q666501,N/Njegovan_Maximilian_1858_1930
http://www.wikidata.org/entity/Q668522,R/Russegger_Josef_1802_1863
http://www.wikidata.org/entity/Q671839,R/Rahl_Karl_1812_1865
http://www.wikidata.org/entity/Q673686,H/Holzgethan_Ludwig_1810_1876
http://www.wikidata.org/entity/Q676025,C/Carcano_Giulio_1812_1884
http://www.wikidata.org/entity/Q677637,K/Kaminka_Aharon_1866_1950
http://www.wikidata.org/entity/Q683579,O/Oberdank_Wilhelm_1858_1882
http://www.wikidata.org/entity/Q685361,E/Ender_Thomas_1793_1875
http://www.wikidata.org/entity/Q687135,S/Szemere_Bertalan_1812_1869
